                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3812,                 7.8617,                 3.8331,                 4.2405,                 0.0037,                0.67347,                0.01129,                0.00316,                      0,                      0,                      0,                      0,                 2.5777,                 5.1841,                 3.6157,                 4.1585,             8.9959e-05,             3.2681e-07,             3.2681e-07
                      2,                  3.321,                  8.261,                   3.87,                 4.2467,                0.00374,                0.67347,                0.02846,                0.00904,                      0,                      0,                      0,                      0,                 2.5782,                 5.1852,                 3.6079,                 4.1592,             9.0189e-05,             6.7278e-07,             6.7278e-07
                      3,                 3.3231,                 7.8887,                 3.8685,                 4.2225,                0.00374,                0.67347,                  0.015,                0.00428,                      0,                      0,                      0,                      0,                 2.5809,                 5.1858,                 3.6011,                   4.16,             9.0418e-05,             1.0187e-06,             1.0187e-06
                      4,                 3.1982,                 7.8772,                  3.844,                 4.2328,                0.00372,                0.67347,                0.01721,                0.00454,                      0,                      0,                      0,                      0,                 2.5792,                 5.1844,                 3.5963,                 4.1614,             9.0647e-05,             1.3645e-06,             1.3645e-06
                      5,                 3.3231,                 8.9039,                 3.8472,                 4.2363,                0.00378,                0.69388,                0.01397,                0.00377,                      0,                      0,                      0,                      0,                 2.5814,                 5.1809,                 3.5955,                 4.1627,             9.0875e-05,             1.7103e-06,             1.7103e-06
                      6,                 3.3365,                 7.5371,                 3.8663,                 4.2339,                0.00374,                0.67347,                0.01478,                0.00448,                      0,                      0,                      0,                      0,                  2.583,                 5.1749,                 3.5977,                 4.1636,             9.1104e-05,              2.056e-06,              2.056e-06
                      7,                  3.381,                 7.3312,                 3.8592,                 4.2254,                0.00407,                0.69388,                0.02006,                0.00563,                0.00012,                0.02041,                  8e-05,                  1e-05,                 2.5841,                 5.1656,                 3.6036,                 4.1631,             9.1333e-05,             2.4016e-06,             2.4016e-06
                      8,                 3.3364,                 7.5388,                 3.8467,                 4.2294,                0.00417,                0.69388,                0.04773,                0.00818,                0.00049,                0.08163,                0.00038,                  5e-05,                  2.584,                 5.1574,                  3.608,                 4.1616,             9.1562e-05,             2.7472e-06,             2.7472e-06
                      9,                 3.3372,                 7.3914,                 3.8517,                 4.2235,                0.00415,                0.69388,                0.03249,                0.00767,                 0.0011,                0.18367,                0.00125,                0.00017,                  2.584,                 5.1503,                   3.61,                 4.1591,              9.179e-05,             3.0927e-06,             3.0927e-06
                     10,                 3.3719,                 7.1214,                 3.8492,                  4.221,                0.00367,                0.69388,                0.04097,                0.00944,                0.00108,                0.20408,                0.00097,                0.00018,                 2.5853,                   5.16,                 3.6132,                  4.157,             9.2019e-05,             3.4381e-06,             3.4381e-06
                     11,                 3.3575,                  6.828,                 3.8151,                 4.2084,                0.00363,                 0.7551,                0.03064,                0.00952,                0.00108,                0.22449,                0.00101,                0.00017,                 2.5599,                 5.2933,                 3.6238,                 4.1552,             9.2248e-05,             3.7834e-06,             3.7834e-06
                     12,                 3.3301,                 6.5233,                 3.8119,                 4.2036,                0.39027,                0.02041,                0.04834,                0.00901,                 0.0013,                0.28571,                0.00123,                0.00019,                 2.5465,                 5.9016,                 3.6576,                 4.1675,             9.2476e-05,             4.1287e-06,             4.1287e-06
                     13,                  3.353,                 6.6447,                 3.8194,                  4.209,                0.28507,                0.02041,                0.03209,                0.00656,                0.00115,                0.26531,                0.00089,                0.00014,                  2.541,                   6.83,                 3.6702,                 4.1817,             9.2704e-05,             4.4739e-06,             4.4739e-06
                     14,                  3.384,                 6.0972,                 3.8135,                 4.1896,                0.02684,                0.40816,                0.02321,                0.00526,                0.00094,                0.22449,                0.00089,                0.00012,                  2.547,                 7.5232,                 3.6627,                 4.1954,             9.2933e-05,             4.8191e-06,             4.8191e-06
