                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1282,                 8.0652,                 3.9501,                 4.2299,                0.00286,                0.80769,                0.00974,                 0.0038,                      0,                      0,                      0,                      0,                 2.7181,                 5.2097,                  3.533,                 4.1582,             0.00053775,             1.9735e-05,             1.9735e-05
                      2,                 3.1154,                 7.1965,                 4.0213,                 4.2205,                0.00279,                0.78846,                0.00811,                0.00314,                      0,                      0,                      0,                      0,                 2.7181,                 5.2097,                 3.5312,                 4.1581,             0.00055942,             4.3412e-05,             4.3412e-05
                      3,                 3.1636,                 7.8703,                 4.0524,                 4.2179,                0.00286,                0.80769,                0.00974,                0.00382,                      0,                      0,                      0,                      0,                 2.7175,                   5.21,                 3.5338,                 4.1573,             0.00058109,             6.7085e-05,             6.7085e-05
                      4,                 3.0381,                 8.1399,                 4.0145,                 4.2268,                0.00286,                0.80769,                0.00988,                0.00381,                      0,                      0,                      0,                      0,                  2.714,                 5.2103,                 3.5356,                 4.1565,             0.00060275,             9.0753e-05,             9.0753e-05
                      5,                 3.1211,                 8.4866,                  4.014,                 4.2465,                0.00286,                0.80769,                 0.0097,                0.00381,                      0,                      0,                      0,                      0,                 2.7165,                 5.2107,                 3.5343,                 4.1562,             0.00062441,             0.00011442,             0.00011442
                      6,                 3.1571,                 7.6914,                 4.0707,                  4.222,                0.00286,                0.80769,                0.00973,                0.00383,                      0,                      0,                      0,                      0,                  2.717,                 5.2099,                 3.5365,                 4.1555,             0.00064606,             0.00013808,             0.00013808
                      7,                 3.0398,                 6.8552,                 4.0559,                 4.2092,                0.00286,                0.80769,                0.00878,                0.00362,                      0,                      0,                      0,                      0,                 2.7155,                   5.21,                 3.5356,                 4.1545,             0.00066771,             0.00016173,             0.00016173
                      8,                  3.122,                  8.017,                 4.0426,                 4.2336,                0.00286,                0.80769,                0.00946,                0.00386,                      0,                      0,                      0,                      0,                 2.7156,                 5.2099,                  3.537,                 4.1534,             0.00068935,             0.00018538,             0.00018538
                      9,                 3.1377,                 7.9807,                 4.1022,                 4.2389,                0.00286,                0.80769,                0.00939,                0.00385,                      0,                      0,                      0,                      0,                 2.7181,                 5.2092,                 3.5377,                 4.1529,             0.00071099,             0.00020902,             0.00020902
                     10,                 3.1719,                 7.5831,                 4.0885,                 4.2202,                0.00286,                0.80769,                0.00899,                0.00353,                      0,                      0,                      0,                      0,                 2.7174,                 5.2092,                 3.5372,                  4.152,             0.00073262,             0.00023266,             0.00023266
                     11,                 3.1907,                 6.9769,                 4.0264,                 4.2158,                0.00286,                0.80769,                0.00914,                0.00367,                  7e-05,                0.01923,                  9e-05,                  1e-05,                 2.7172,                 5.2091,                  3.538,                 4.1513,             0.00075425,              0.0002563,              0.0002563
                     12,                 3.0791,                 7.2912,                 4.0336,                 4.2184,                0.00286,                0.80769,                0.00908,                0.00366,                  7e-05,                0.01923,                0.00027,                  3e-05,                 2.7194,                  5.209,                 3.5386,                 4.1508,             0.00077587,             0.00027993,             0.00027993
                     13,                 3.1142,                 7.1522,                 4.0016,                 4.2152,                0.00286,                0.80769,                0.00886,                0.00367,                      0,                      0,                      0,                      0,                 2.7184,                 5.2085,                 3.5361,                 4.1504,             0.00079749,             0.00030356,             0.00030356
                     14,                  3.089,                 6.9595,                 3.9884,                 4.2047,                0.00286,                0.80769,                0.00881,                0.00352,                      0,                      0,                      0,                      0,                  2.718,                 5.2081,                 3.5384,                 4.1497,             0.00081911,             0.00032718,             0.00032718
                     15,                 3.1446,                 6.5299,                 4.0235,                 4.1945,                0.00286,                0.80769,                0.01024,                0.00409,                      0,                      0,                      0,                      0,                 2.7235,                 5.2069,                 3.5392,                 4.1495,             0.00084072,             0.00035079,             0.00035079
                     16,                 3.0373,                 6.5064,                 3.9653,                 4.2047,                0.00286,                0.80769,                0.00969,                0.00372,                  7e-05,                0.01923,                  4e-05,                      0,                  2.725,                 5.2055,                 3.5378,                 4.1488,             0.00086232,              0.0003744,              0.0003744
                     17,                 3.1211,                 6.4508,                 3.9324,                 4.2021,                0.00286,                0.80769,                   0.01,                0.00375,                  7e-05,                0.01923,                  4e-05,                      0,                  2.725,                 5.2037,                  3.536,                 4.1491,             0.00088392,             0.00039801,             0.00039801
                     18,                 3.1849,                 6.4581,                 4.0311,                  4.203,                0.00286,                0.80769,                0.01183,                0.00432,                  7e-05,                0.01923,                  4e-05,                      0,                 2.7267,                 5.2017,                 3.5353,                 4.1492,             0.00090552,             0.00042161,             0.00042161
                     19,                 3.1229,                 6.5024,                 3.9941,                 4.1928,                0.00286,                0.80769,                0.01228,                0.00444,                      0,                      0,                      0,                      0,                  2.731,                 5.1998,                 3.5338,                 4.1493,             0.00092711,             0.00044521,             0.00044521
                     20,                 3.0325,                 6.2074,                 3.8825,                 4.1933,                0.00286,                0.80769,                0.01242,                0.00494,                  7e-05,                0.01923,                  4e-05,                      0,                 2.7329,                 5.1977,                 3.5349,                 4.1492,              0.0009487,             0.00046881,             0.00046881
                     21,                 3.1233,                 5.9088,                 3.9921,                 4.1851,                0.00286,                0.80769,                0.01531,                0.00517,                  7e-05,                0.01923,                  4e-05,                  1e-05,                 2.7345,                 5.1952,                 3.5339,                 4.1495,             0.00097028,             0.00049239,             0.00049239
                     22,                 3.1663,                 6.3163,                 4.0233,                 4.1958,                0.00286,                0.80769,                0.01491,                0.00527,                0.00034,                0.09615,                0.00022,                  3e-05,                 2.7348,                 5.1928,                 3.5337,                 4.1497,             0.00099186,             0.00051598,             0.00051598
                     23,                 3.0451,                 5.7976,                 3.8968,                  4.184,                0.00286,                0.80769,                0.01593,                0.00557,                0.00048,                0.13462,                0.00037,                  5e-05,                  2.735,                 5.1899,                  3.532,                 4.1499,              0.0010134,             0.00053956,             0.00053956
                     24,                 3.1355,                 6.1002,                 3.9474,                 4.1845,                0.00286,                0.80769,                0.01736,                0.00583,                0.00061,                0.17308,                0.00047,                  6e-05,                 2.7353,                 5.1873,                 3.5301,                 4.1505,               0.001035,             0.00056313,             0.00056313
                     25,                 3.1201,                 5.8728,                 3.9871,                 4.1912,                0.00286,                0.80769,                0.01604,                0.00559,                0.00068,                0.19231,                0.00046,                  7e-05,                  2.735,                 5.1836,                 3.5297,                 4.1514,              0.0010566,              0.0005867,              0.0005867
                     26,                 3.1128,                 5.7296,                 3.9593,                 4.1806,                0.00286,                0.80769,                0.01904,                0.00642,                0.00095,                0.26923,                 0.0009,                0.00015,                 2.7361,                 5.1785,                 3.5313,                 4.1527,              0.0010781,             0.00061027,             0.00061027
                     27,                  3.179,                 5.6687,                  3.956,                 4.1875,                0.00286,                0.80769,                0.02194,                0.00738,                0.00116,                0.32692,                0.00133,                0.00024,                 2.7339,                 5.1738,                 3.5266,                 4.1494,              0.0010997,             0.00063383,             0.00063383
                     28,                 3.1594,                 5.5295,                 3.9513,                 4.1812,                0.00286,                0.80769,                0.02373,                0.00776,                0.00129,                0.36538,                0.00263,                0.00049,                 2.7319,                 5.1764,                 3.5221,                 4.1548,              0.0011212,             0.00065738,             0.00065738
                     29,                 3.2304,                 5.6523,                 3.9641,                  4.175,                0.00286,                0.80769,                0.02168,                0.00686,                0.00163,                0.46154,                0.00286,                0.00038,                 2.7388,                 5.1823,                 3.5192,                 4.1586,              0.0011428,             0.00068093,             0.00068093
                     30,                 3.1884,                 5.6748,                 4.0268,                 4.1845,                0.00286,                0.80769,                0.02035,                0.00604,                0.00156,                0.44231,                0.00178,                0.00028,                 2.7467,                 5.1821,                 3.5238,                 4.1647,              0.0011643,             0.00070448,             0.00070448
                     31,                 2.9964,                 5.6044,                  3.963,                 4.1774,                0.00286,                0.80769,                0.02031,                0.00631,                0.00163,                0.46154,                 0.0022,                0.00037,                 2.7673,                  5.201,                 3.5347,                 4.1764,              0.0011858,             0.00072802,             0.00072802
                     32,                 3.1522,                 5.6203,                 3.8757,                 4.1769,                0.00286,                0.80769,                0.01742,                0.00627,                0.00136,                0.38462,                0.00215,                0.00032,                   2.77,                 5.2364,                 3.5184,                 4.1881,              0.0012074,             0.00075156,             0.00075156
                     33,                 3.1442,                 5.4555,                 3.9499,                 4.1737,                0.00288,                0.80769,                0.01681,                0.00585,                 0.0015,                0.42308,                0.00156,                0.00027,                  2.774,                 5.2481,                 3.5064,                  4.193,              0.0012289,             0.00077509,             0.00077509
                     34,                 3.1232,                 5.3739,                 3.9092,                 4.1739,                0.01501,                0.03846,                0.01714,                0.00553,                0.00116,                0.32692,                0.00109,                0.00021,                 2.7907,                 5.2938,                 3.5253,                 4.1966,              0.0012504,             0.00079862,             0.00079862
                     35,                 3.1499,                 5.3774,                 3.8857,                 4.1691,                0.05238,                0.01923,                0.01824,                0.00604,                0.00122,                0.34615,                 0.0011,                 0.0002,                 2.7905,                 5.3618,                  3.485,                 4.2017,              0.0012719,             0.00082214,             0.00082214
                     36,                 3.1529,                 5.4922,                 3.9479,                 4.1784,                0.27616,                0.01923,                0.02589,                0.00774,                0.00122,                0.34615,                0.00099,                 0.0002,                 2.8074,                 5.3684,                 3.4828,                 4.2058,              0.0012934,             0.00084566,             0.00084566
                     37,                 3.1077,                 5.3222,                 3.8495,                 4.1739,                0.03131,                0.05769,                0.01631,                0.00539,                0.00136,                0.38462,                0.00142,                0.00024,                 2.8129,                 5.3726,                 3.4644,                 4.2209,               0.001315,             0.00086917,             0.00086917
                     38,                 3.1181,                 5.4409,                 3.9233,                 4.1724,                0.02233,                0.07692,                0.01626,                0.00567,                0.00129,                0.36538,                 0.0015,                0.00027,                 2.8175,                  5.402,                 3.4795,                 4.2126,              0.0013365,             0.00089268,             0.00089268
                     39,                 3.0527,                 5.2943,                 3.9213,                 4.1712,                0.00717,                0.01923,                0.01313,                0.00495,                0.00122,                0.34615,                0.00132,                0.00025,                 2.7881,                  5.368,                 3.4999,                 4.2226,               0.001358,             0.00091618,             0.00091618
                     40,                   3.08,                 5.3807,                 3.8776,                 4.1756,                0.01274,                0.03846,                0.01206,                0.00437,                0.00122,                0.34615,                0.00121,                0.00021,                 2.8141,                 5.5379,                 3.5136,                 4.2027,              0.0013794,             0.00093968,             0.00093968
                     41,                 3.0531,                 5.4625,                 3.8782,                 4.1832,                0.01137,                0.03846,                0.01298,                 0.0045,                0.00136,                0.38462,                0.00141,                0.00024,                  2.767,                 5.5348,                 3.5731,                 4.2262,              0.0014009,             0.00096318,             0.00096318
                     42,                 3.1019,                 5.1814,                 3.8951,                 4.1696,                 0.4019,                0.01923,                0.02126,                0.01038,                0.00109,                0.30769,                0.00093,                0.00017,                 2.7819,                 5.9407,                 3.5564,                 4.2272,              0.0014224,             0.00098667,             0.00098667
