                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.478,                 7.2152,                 3.8986,                 4.2344,                0.00385,                0.69388,                0.01965,                 0.0053,                0.00034,                0.06122,                0.00208,                0.00021,                 2.5409,                  5.174,                 3.6603,                 4.1139,              0.0048193,             1.3228e-08,             1.3228e-08
                      2,                 3.3904,                 6.8795,                 3.7688,                 4.1217,                0.00174,                 0.4898,                0.03376,                0.00432,                0.00058,                0.16327,                0.00054,                  7e-05,                 2.5972,                 4.8442,                 4.4639,                 3.7645,              0.0048139,             2.8107e-08,             2.8107e-08
                      3,                 3.3368,                  5.827,                 3.6494,                 3.8816,                0.00246,                0.69388,                0.00362,                 0.0015,                0.00181,                 0.5102,                0.00259,                0.00062,                  2.548,                  4.852,                 3.4506,                 3.4339,              0.0048086,             4.2983e-08,             4.2983e-08
                      4,                  3.251,                 4.8738,                 3.5556,                 3.6121,                0.00261,                0.73469,                0.00337,                0.00128,                0.00188,                0.53061,                 0.0025,                0.00068,                 2.7651,                 4.8951,                 3.2802,                  3.277,              0.0048032,             5.7855e-08,             5.7855e-08
                      5,                  3.285,                 4.6624,                 3.4425,                 3.4566,                0.00261,                0.73469,                0.00379,                 0.0014,                0.00188,                0.53061,                0.00248,                0.00068,                 2.7915,                 5.0676,                 4.5366,                 3.1655,              0.0047978,             7.2725e-08,             7.2725e-08
                      6,                 3.3727,                 4.5677,                 3.4591,                  3.434,                0.00275,                0.77551,                0.00415,                0.00157,                0.00196,                0.55102,                0.00274,                0.00073,                 2.8003,                 5.3097,                 3.3298,                  3.092,              0.0047925,             8.7592e-08,             8.7592e-08
                      7,                 3.3401,                 4.3735,                 3.3245,                 3.3502,                0.00275,                0.77551,                0.01954,                 0.0049,                0.00188,                0.53061,                0.00598,                0.00129,                 2.7901,                 5.1982,                 3.4802,                 3.0509,              0.0047871,             1.0246e-07,             1.0246e-07
                      8,                 3.2596,                 4.2303,                 3.2956,                 3.2922,                0.00275,                0.77551,                0.02782,                0.01046,                0.00196,                0.55102,                0.01008,                0.00173,                 2.8177,                 5.0064,                 3.3191,                  2.954,              0.0047818,             1.1732e-07,             1.1732e-07
                      9,                 3.2199,                 4.3367,                 3.2743,                 3.2028,                0.00275,                0.77551,                0.03186,                0.01254,                0.00196,                0.55102,                0.00907,                0.00168,                 2.7909,                 4.9937,                 3.3265,                 2.8492,              0.0047764,             1.3218e-07,             1.3218e-07
                     10,                 3.3334,                 4.2142,                 3.1992,                 3.2254,                0.00275,                0.77551,                0.03729,                0.01578,                 0.0021,                0.59184,                0.02168,                0.00418,                   2.79,                   4.84,                 3.2578,                 2.8184,              0.0047711,             1.4703e-07,             1.4703e-07
                     11,                 3.3812,                 4.2516,                 3.3415,                 3.2178,                0.00268,                 0.7551,                0.09219,                0.03359,                 0.0021,                0.59184,                0.05347,                0.01222,                 2.7888,                  4.767,                 3.0584,                  2.793,              0.0047657,             1.6188e-07,             1.6188e-07
                     12,                 3.3348,                 4.1191,                 3.1656,                 3.1965,                0.00268,                 0.7551,                0.12869,                0.04693,                0.00116,                0.32653,                0.07819,                0.02272,                 2.8095,                 4.8383,                 3.1638,                 2.8219,              0.0047604,             1.7673e-07,             1.7673e-07
                     13,                 3.3792,                 4.0768,                 3.1413,                 3.2294,                0.00305,                0.77551,                0.16103,                0.05895,                0.00185,                0.46939,                0.12325,                0.04977,                 2.8204,                 5.5854,                 3.1493,                 2.8309,               0.004755,             1.9158e-07,             1.9158e-07
                     14,                 3.3173,                 3.9354,                  3.086,                 3.1935,                0.00304,                0.85714,                0.14615,                0.05061,                0.00275,                0.77551,                0.11295,                0.04822,                 2.8122,                 4.4564,                 3.1393,                 2.8519,              0.0047497,             2.0642e-07,             2.0642e-07
                     15,                 3.2753,                 4.0805,                 3.0488,                 3.1569,                0.00297,                0.81633,                0.14641,                0.04958,                0.00282,                0.77551,                0.13246,                0.04874,                 2.8307,                  4.394,                 3.0409,                 2.8434,              0.0047443,             2.2126e-07,             2.2126e-07
                     16,                 3.3795,                 3.8087,                 3.0039,                 3.1621,                0.01664,                0.69388,                 0.1762,                0.07005,                0.01321,                0.55102,                0.14774,                0.05357,                 2.8161,                 4.4648,                 2.8705,                 2.8174,               0.004739,              2.361e-07,              2.361e-07
                     17,                  3.395,                 4.0828,                 3.0993,                 3.1286,                0.00304,                0.83673,                0.14473,                0.05106,                0.00281,                0.77551,                0.12102,                0.04754,                 2.8299,                 4.2016,                 3.0197,                 2.8111,              0.0047336,             2.5093e-07,             2.5093e-07
                     18,                 3.3466,                  3.957,                 2.9888,                 3.1564,                0.00301,                0.81633,                0.08949,                0.03334,                0.00249,                0.67347,                0.08405,                0.03062,                 2.8342,                 4.3221,                 3.0354,                 2.7675,              0.0047283,             2.6577e-07,             2.6577e-07
                     19,                 3.3098,                 3.9249,                 2.9757,                 3.1057,                0.20635,                0.14286,                0.13801,                0.05972,                0.17687,                0.12245,                0.12433,                0.05388,                  2.841,                 4.1212,                 2.8584,                 2.7379,              0.0047229,             2.8059e-07,             2.8059e-07
                     20,                 3.2139,                 4.0742,                 2.9968,                 3.0406,                0.14079,                 0.2449,                0.16817,                0.06486,                0.14079,                 0.2449,                0.15398,                0.05718,                 2.8491,                 4.0993,                 2.8568,                 2.7511,              0.0047176,             2.9542e-07,             2.9542e-07
                     21,                 3.4672,                 3.8975,                 2.9657,                 3.1898,                0.17327,                0.12245,                0.14911,                0.05959,                0.17787,                0.10204,                0.11533,                0.05267,                 2.8649,                 4.3125,                 2.7715,                 2.7498,              0.0047122,             3.1024e-07,             3.1024e-07
                     22,                 3.4421,                 3.9078,                 3.0159,                 3.1288,                0.18972,                0.18367,                0.14343,                0.05253,                0.14756,                0.14286,                0.11074,                0.04416,                 2.8375,                 4.4196,                 2.8896,                 2.7451,              0.0047069,             3.2506e-07,             3.2506e-07
                     23,                 3.4113,                 3.9032,                  2.944,                 3.1314,                0.15185,                0.20408,                0.10266,                0.03571,                0.11186,                0.10204,                0.07692,                0.02815,                 2.8336,                 4.0854,                 2.8335,                 2.7372,              0.0047015,             3.3988e-07,             3.3988e-07
                     24,                 3.2767,                 3.9166,                 2.9541,                 3.0602,                0.11695,                0.18367,                0.10899,                0.02878,                0.09096,                0.14286,                0.08299,                0.02754,                  2.807,                 4.3528,                 2.8741,                 2.7189,              0.0046962,             3.5469e-07,             3.5469e-07
                     25,                 3.3852,                 3.8819,                 2.9252,                 3.0928,                0.00352,                 0.7551,                0.06248,                0.01896,                0.00295,                0.63265,                0.04737,                0.01459,                 2.7891,                 4.5529,                 3.0337,                  2.731,              0.0046908,              3.695e-07,              3.695e-07
                     26,                 3.4235,                 3.9079,                 2.9431,                 3.1217,                0.01284,                0.67347,                 0.0832,                0.02764,                0.04946,                0.32653,                0.07082,                0.02541,                 2.8043,                 4.4069,                 2.9681,                 2.7478,              0.0046855,             3.8431e-07,             3.8431e-07
                     27,                 3.3922,                 3.8802,                 2.8734,                 3.0767,                0.11921,                0.26531,                0.10381,                0.03377,                0.07385,                0.16438,                0.07679,                0.02899,                 2.8228,                 4.5942,                 2.9733,                  2.751,              0.0046801,             3.9912e-07,             3.9912e-07
                     28,                 3.3228,                 3.8269,                 2.8592,                  3.072,                0.06831,                0.30612,                0.11391,                0.03988,                 0.0592,                0.26531,                0.10296,                0.04034,                 2.8047,                 4.3128,                 3.0188,                 2.7454,              0.0046748,             4.1392e-07,             4.1392e-07
                     29,                  3.365,                 3.7866,                 2.9017,                 3.1133,                0.25623,                0.10204,                0.10858,                0.03847,                0.27242,                0.10204,                0.10308,                0.03962,                 2.7823,                  3.957,                 2.9169,                 2.7313,              0.0046694,             4.2872e-07,             4.2872e-07
                     30,                 3.1975,                 3.6569,                 2.7658,                  2.996,                0.18252,                0.16327,                0.11634,                0.04127,                0.26501,                0.16327,                0.11072,                0.04112,                 2.7884,                 4.1794,                 2.8552,                 2.7311,              0.0046641,             4.4352e-07,             4.4352e-07
                     31,                  3.329,                 3.8286,                 2.8018,                 3.0584,                0.27755,                0.12245,                0.10027,                0.02853,                0.26098,                0.10204,                0.08882,                0.02156,                 2.8062,                 4.2453,                 3.0298,                 2.7499,              0.0046587,             4.5831e-07,             4.5831e-07
