                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1098,                 7.8606,                   4.45,                 4.2417,                0.00217,                0.61224,                0.00356,                0.00144,                0.00116,                0.32653,                0.00127,                0.00032,                 2.4992,                 5.1917,                 4.2409,                 4.1454,              0.0016885,             1.6907e-07,             1.6907e-07
                      2,                 3.0851,                 7.7835,                  4.326,                 4.2131,                0.00225,                0.63265,                0.00369,                0.00151,                0.00138,                0.38776,                 0.0015,                0.00038,                 2.4991,                 5.1741,                 4.2781,                 4.1203,                0.00168,             3.4806e-07,             3.4806e-07
                      3,                 3.1502,                 7.0321,                 4.3008,                 4.1895,                0.00232,                0.65306,                0.00391,                 0.0015,                0.00138,                0.38776,                0.00153,                 0.0004,                 2.5018,                 5.1456,                 4.3149,                 4.0939,              0.0016716,             5.2701e-07,             5.2701e-07
                      4,                 3.0369,                 6.8268,                 4.1757,                 4.1566,                0.00239,                0.67347,                0.00451,                0.00179,                0.00145,                0.40816,                0.00164,                0.00043,                 2.5033,                 5.0979,                 4.1141,                 4.0694,              0.0016632,             7.0592e-07,             7.0592e-07
                      5,                 3.1513,                 7.0633,                 4.1459,                 4.1534,                0.00246,                0.69388,                 0.0052,                0.00192,                0.00145,                0.40816,                0.00189,                0.00049,                 2.5082,                 5.0489,                 4.1376,                 4.0498,              0.0016547,              8.848e-07,              8.848e-07
                      6,                 3.1259,                 6.6611,                 4.1521,                 4.1264,                0.00275,                0.77551,                0.00654,                0.00227,                 0.0021,                0.59184,                0.00246,                0.00056,                 2.5082,                 4.9974,                 4.1613,                 4.0294,              0.0016463,             1.0636e-06,             1.0636e-06
                      7,                 3.0989,                 6.1816,                 4.0842,                 4.1079,                 0.0029,                0.81633,                0.00698,                0.00245,                0.00268,                 0.7551,                0.00298,                0.00072,                  2.512,                 4.9448,                 4.1886,                 4.0051,              0.0016379,             1.2424e-06,             1.2424e-06
                      8,                 3.0546,                 6.1394,                  4.029,                 4.0772,                0.00297,                0.83673,                0.00974,                0.00298,                0.00261,                0.73469,                0.00319,                0.00082,                 2.5167,                 4.9224,                 4.1906,                 3.9815,              0.0016295,             1.4212e-06,             1.4212e-06
                      9,                 3.1279,                 5.8624,                 4.0117,                 4.0671,                0.00297,                0.83673,                0.01091,                0.00353,                0.00254,                0.71429,                0.00437,                  0.001,                  2.519,                 4.9497,                 4.1489,                 3.9572,               0.001621,                1.6e-06,                1.6e-06
                     10,                  3.094,                 5.8142,                 4.0192,                 4.0408,                 0.0029,                0.81633,                0.01362,                0.00374,                0.00254,                0.71429,                0.00457,                0.00101,                 2.5116,                 5.0009,                 3.9038,                 3.9345,              0.0016126,             1.7787e-06,             1.7787e-06
