                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0805,                 8.1918,                 4.9057,                 4.2501,                0.00217,                0.61224,                0.00259,                0.00099,                      0,                      0,                      0,                      0,                 2.6769,                  5.197,                 5.0027,                 4.1589,              0.0042478,             2.1644e-07,             2.1644e-07
                      2,                 3.1789,                  7.575,                 5.1195,                 4.2239,                0.00203,                0.57143,                0.00231,                0.00091,                0.00181,                 0.5102,                0.00191,                0.00053,                 2.7155,                 5.1514,                 4.8002,                 4.1092,              0.0042194,             4.7612e-07,             4.7612e-07
                      3,                 2.9861,                 6.3385,                 4.4349,                  4.124,                0.00203,                0.57143,                0.00308,                0.00141,                0.00181,                 0.5102,                0.00221,                0.00057,                  2.769,                  4.953,                 3.5725,                 3.9825,               0.004191,             7.3576e-07,             7.3576e-07
                      4,                 3.0269,                 6.1119,                 4.1146,                  4.005,                0.00196,                0.55102,                0.00294,                0.00099,                0.00181,                 0.5102,                0.00238,                0.00065,                 2.7986,                  4.928,                 3.3104,                 3.9106,              0.0041626,             9.9534e-07,             9.9534e-07
                      5,                  3.152,                 6.3637,                  4.072,                 3.9612,                0.00196,                0.55102,                0.00288,                0.00098,                0.00181,                 0.5102,                0.00256,                0.00068,                 2.8065,                 4.9253,                 3.3615,                 3.8632,              0.0041342,             1.2549e-06,             1.2549e-06
                      6,                 3.0627,                 5.7214,                 4.0375,                 3.8959,                0.00196,                0.55102,                0.00294,                0.00118,                0.00181,                 0.5102,                0.00245,                0.00066,                 2.7705,                 4.9556,                  3.412,                 3.8181,              0.0041058,             1.5143e-06,             1.5143e-06
                      7,                 3.0114,                 5.5124,                 3.9476,                 3.8353,                0.00203,                0.57143,                0.00293,                0.00103,                0.00181,                 0.5102,                0.00229,                0.00058,                 2.7984,                 4.9416,                 3.4334,                 3.7857,              0.0040774,             1.7738e-06,             1.7738e-06
                      8,                 3.0207,                 5.1991,                 3.9593,                 3.8046,                0.00203,                0.57143,                0.00362,                0.00113,                0.00181,                 0.5102,                0.00234,                0.00062,                 2.8045,                  4.913,                 3.4331,                 3.7546,               0.004049,             2.0331e-06,             2.0331e-06
                      9,                 3.0509,                 4.9559,                 3.9395,                 3.7631,                0.00303,                0.53061,                0.00356,                0.00143,                0.00279,                 0.4898,                0.00349,                0.00098,                 2.8068,                 4.9317,                 3.4574,                 3.7374,              0.0040206,             2.2925e-06,             2.2925e-06
                     10,                 3.0264,                 4.8944,                 3.9089,                  3.761,                0.00329,                0.57143,                0.00518,                 0.0017,                0.00294,                 0.5102,                0.00298,                0.00077,                  2.819,                 4.9344,                 3.4174,                 3.7149,              0.0039922,             2.5517e-06,             2.5517e-06
                     11,                 3.1514,                 4.6961,                 3.9258,                 3.7826,                0.00288,                0.55102,                 0.0041,                0.00135,                0.00266,                 0.5102,                0.00269,                0.00073,                 2.8019,                 4.9047,                 3.4631,                 3.6979,              0.0039637,              2.811e-06,              2.811e-06
                     12,                 3.0995,                 4.5052,                 3.8185,                 3.7441,                0.00325,                0.55102,                0.00385,                0.00135,                0.00301,                 0.5102,                0.00335,                0.00094,                 2.7883,                 4.9535,                 3.4144,                 3.6842,              0.0039353,             3.0701e-06,             3.0701e-06
                     13,                 3.0368,                  4.529,                 3.6909,                 3.6723,                0.00331,                0.57143,                 0.0068,                0.00208,                0.00308,                0.53061,                0.00442,                0.00116,                    2.8,                 5.0118,                 3.3632,                 3.6782,              0.0039069,             3.3292e-06,             3.3292e-06
                     14,                  3.152,                 4.3706,                 3.6827,                 3.7408,                0.00321,                0.55102,                0.00961,                0.00302,                0.00309,                0.53061,                0.00762,                0.00183,                 2.7866,                 5.0107,                 3.4999,                 3.6658,              0.0038785,             3.5883e-06,             3.5883e-06
                     15,                 3.0918,                 4.3979,                 3.5782,                  3.661,                0.00319,                0.55102,                 0.0122,                0.00386,                      0,                      0,                      0,                      0,                 2.8036,                 5.1224,                  3.571,                 3.6775,              0.0038501,             3.8473e-06,             3.8473e-06
