                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1306,                 7.8234,                 4.3181,                 4.2503,                0.00245,                0.69231,                0.00525,                0.00231,                      0,                      0,                      0,                      0,                  2.518,                 5.1945,                 3.9191,                  4.159,             0.00012182,             4.6023e-07,             4.6023e-07
                      2,                 3.0723,                 8.2437,                 4.2123,                 4.2616,                0.00252,                0.71154,                0.00548,                0.00232,                0.00143,                0.40385,                 0.0022,                0.00058,                 2.5166,                 5.1944,                 3.9195,                 4.1585,             0.00012214,              9.779e-07,              9.779e-07
                      3,                 3.0964,                 8.0741,                 4.3559,                 4.2483,                0.00252,                0.71154,                0.00606,                0.00242,                0.00143,                0.40385,                0.00212,                0.00053,                 2.5184,                 5.1958,                 3.9144,                  4.158,             0.00012246,             1.4955e-06,             1.4955e-06
                      4,                 3.1098,                 8.0535,                 4.2156,                 4.2218,                0.00265,                   0.75,                0.00573,                0.00233,                0.00088,                   0.25,                  0.001,                0.00012,                 2.5178,                 5.1962,                 3.9119,                 4.1569,             0.00012279,             2.0129e-06,             2.0129e-06
                      5,                 3.0843,                 7.0285,                  4.178,                 4.2268,                0.00272,                0.76923,                0.00613,                0.00264,                0.00082,                0.23077,                0.00109,                0.00012,                  2.519,                 5.1968,                 3.9051,                 4.1563,             0.00012311,             2.5303e-06,             2.5303e-06
                      6,                 2.9784,                 6.8543,                 4.3508,                 4.2267,                0.00279,                0.78846,                0.00681,                0.00288,                0.00075,                0.21154,                0.00112,                0.00015,                 2.5188,                 5.1963,                 3.8971,                 4.1546,             0.00012343,             3.0475e-06,             3.0475e-06
                      7,                 3.1222,                  7.135,                 4.2323,                 4.2289,                0.00279,                0.78846,                0.00976,                 0.0034,                0.00136,                0.38462,                0.00254,                0.00065,                 2.5168,                 5.1939,                 3.8915,                 4.1534,             0.00012375,             3.5647e-06,             3.5647e-06
                      8,                 3.0224,                 6.7799,                 4.1244,                  4.211,                0.00299,                0.84615,                0.00922,                0.00336,                0.00143,                0.40385,                0.00347,                0.00072,                 2.5176,                  5.189,                 3.8875,                 4.1512,             0.00012407,             4.0817e-06,             4.0817e-06
                      9,                 3.1509,                 7.2454,                 4.2248,                 4.2352,                0.00265,                   0.75,                0.00843,                0.00293,                0.00143,                0.40385,                0.00254,                0.00063,                 2.5183,                 5.1812,                 3.8873,                 4.1496,             0.00012439,             4.5987e-06,             4.5987e-06
                     10,                  3.052,                 6.8645,                 4.1357,                 4.2347,                0.00265,                   0.75,                0.00798,                0.00296,                0.00136,                0.38462,                0.00255,                 0.0007,                 2.5184,                 5.1699,                 3.8849,                 4.1465,             0.00012471,             5.1155e-06,             5.1155e-06
